,GO term,COGs,GO term name,Number of COGs,IC,SuperCOGs,Number of SuperCOGs
98,GO:0005338,"{'G', 'F', 'U'}",nucleotide-sugar transmembrane transporter activity,3,14.3174,"{'supercog2', 'supercog1'}",2
99,GO:0002688,"{'T', 'W', 'N'}",regulation of leukocyte chemotaxis,3,9.9389,{'supercog1'},1
100,GO:0030200,"{'G', 'C', 'O'}",heparan sulfate proteoglycan catabolic process,3,14.3174,"{'supercog2', 'supercog1'}",2
101,GO:0045670,"{'D', 'W', 'T'}",regulation of osteoclast differentiation,3,10.3725,{'supercog1'},1
102,GO:0002227,"{'W', 'T', 'V'}",innate immune response in mucosa,3,12.3663,{'supercog1'},1
103,GO:1900373,"{'C', 'F', 'H'}",positive regulation of purine nucleotide biosynthetic process,3,12.1799,{'supercog2'},1
104,GO:0062234,"{'C', 'H', 'I'}",platelet activating factor catabolic process,3,,{'supercog2'},1
105,GO:0017056,"{'O', 'Y', 'U'}",structural constituent of nuclear pore,3,10.9297,"{'supercog3', 'supercog1'}",2
106,GO:0042129,"{'D', 'W', 'T'}",regulation of T cell proliferation,3,9.5238,{'supercog1'},1
107,GO:0035743,"{'W', 'T', 'K'}","CD4-positive, alpha-beta T cell cytokine production",3,11.5378,"{'supercog3', 'supercog1'}",2
108,GO:0046007,"{'D', 'W', 'T'}",negative regulation of activated T cell proliferation,3,11.8149,{'supercog1'},1
109,GO:0008474,"{'O', 'H', 'I'}",palmitoyl-(protein) hydrolase activity,3,12.4429,"{'supercog2', 'supercog1'}",2
110,GO:0002437,"{'W', 'T', 'V'}",inflammatory response to antigenic stimulus,3,11.832,{'supercog1'},1
111,GO:0043372,"{'D', 'W', 'T'}","positive regulation of CD4-positive, alpha-beta T cell differentiation",3,12.3914,{'supercog1'},1
112,GO:0036064,"{'O', 'M', 'Z'}",ciliary basal body,3,10.51,{'supercog1'},1
113,GO:0045580,"{'D', 'W', 'T'}",regulation of T cell differentiation,3,10.0051,{'supercog1'},1
114,GO:1901019,"{'P', 'T', 'U'}",regulation of calcium ion transmembrane transporter activity,3,10.9482,"{'supercog2', 'supercog1'}",2
115,GO:0051204,"{'O', 'U', 'M'}",protein insertion into mitochondrial membrane,3,10.8492,{'supercog1'},1
116,GO:0050427,"{'C', 'F', 'H'}",3'-phosphoadenosine 5'-phosphosulfate metabolic process,3,12.4169,{'supercog2'},1
117,GO:0033048,"{'B', 'D', 'Y'}",negative regulation of mitotic sister chromatid segregation,3,10.7324,"{'supercog3', 'supercog1'}",2
118,GO:0032817,"{'D', 'W', 'T'}",regulation of natural killer cell proliferation,3,14.4169,{'supercog1'},1
119,GO:0033047,"{'B', 'D', 'Y'}",regulation of mitotic sister chromatid segregation,3,9.9389,"{'supercog3', 'supercog1'}",2
120,GO:0051282,"{'P', 'T', 'U'}",regulation of sequestering of calcium ion,3,10.1158,"{'supercog2', 'supercog1'}",2
121,GO:0045646,"{'D', 'W', 'T'}",regulation of erythrocyte differentiation,3,11.1368,{'supercog1'},1
122,GO:0032823,"{'D', 'W', 'T'}",regulation of natural killer cell differentiation,3,13.1368,{'supercog1'},1
123,GO:0048291,"{'L', 'W', 'T'}",isotype switching to IgG isotypes,3,12.832,"{'supercog3', 'supercog1'}",2
124,GO:0071346,"{'W', 'T', 'V'}",cellular response to type II interferon,3,9.8667,{'supercog1'},1
125,GO:0030889,"{'D', 'W', 'T'}",negative regulation of B cell proliferation,3,12.0148,{'supercog1'},1
126,GO:0034340,"{'W', 'T', 'V'}",response to type I interferon,3,9.7405,{'supercog1'},1
127,GO:2000649,"{'P', 'T', 'U'}",regulation of sodium ion transmembrane transporter activity,3,12.0148,"{'supercog2', 'supercog1'}",2
128,GO:0042102,"{'D', 'W', 'T'}",positive regulation of T cell proliferation,3,10.5308,{'supercog1'},1
129,GO:0008517,"{'E', 'H', 'U'}",folic acid transmembrane transporter activity,3,15.6393,"{'supercog2', 'supercog1'}",2
130,GO:0005664,"{'B', 'O', 'Y'}",nuclear origin of replication recognition complex,3,12.2935,"{'supercog3', 'supercog1'}",2
131,GO:0050670,"{'D', 'W', 'T'}",regulation of lymphocyte proliferation,3,9.1854,{'supercog1'},1
132,GO:0072540,"{'D', 'W', 'T'}",T-helper 17 cell lineage commitment,3,13.095,{'supercog1'},1
133,GO:0002861,"{'W', 'T', 'V'}",regulation of inflammatory response to antigenic stimulus,3,12.6393,{'supercog1'},1
134,GO:0045577,"{'D', 'W', 'T'}",regulation of B cell differentiation,3,13.0543,{'supercog1'},1
135,GO:0046633,"{'D', 'W', 'T'}",alpha-beta T cell proliferation,3,12.2701,{'supercog1'},1
136,GO:0034341,"{'W', 'T', 'V'}",response to type II interferon,3,9.7364,{'supercog1'},1
137,GO:0045619,"{'D', 'W', 'T'}",regulation of lymphocyte differentiation,3,9.7813,{'supercog1'},1
138,GO:0000045,"{'O', 'C', 'U'}",autophagosome assembly,3,9.7324,"{'supercog2', 'supercog1'}",2
139,GO:0032979,"{'O', 'U', 'M'}",protein insertion into mitochondrial inner membrane from matrix,3,15.2243,{'supercog1'},1
140,GO:0008469,"{'B', 'O', 'H'}",histone arginine N-methyltransferase activity,3,12.5238,"{'supercog3', 'supercog2', 'supercog1'}",3
141,GO:0071357,"{'W', 'T', 'V'}",cellular response to type I interferon,3,9.798,{'supercog1'},1
142,GO:0046640,"{'D', 'W', 'T'}",regulation of alpha-beta T cell proliferation,3,12.3663,{'supercog1'},1
143,GO:0045820,"{'G', 'C', 'H'}",negative regulation of glycolytic process,3,13.0148,{'supercog2'},1
144,GO:0002369,"{'W', 'T', 'K'}",T cell cytokine production,3,10.7731,"{'supercog3', 'supercog1'}",2
145,GO:0042350,"{'G', 'C', 'H'}",GDP-L-fucose biosynthetic process,3,12.8667,{'supercog2'},1
146,GO:1990071,"{'O', 'U', 'M'}",TRAPPII protein complex,3,13.7007,{'supercog1'},1
147,GO:0006172,"{'C', 'F', 'H'}",ADP biosynthetic process,3,11.9205,{'supercog2'},1
148,GO:0001921,"{'C', 'T', 'U'}",positive regulation of receptor recycling,3,13.9763,"{'supercog2', 'supercog1'}",2
149,GO:0046639,"{'D', 'W', 'T'}",negative regulation of alpha-beta T cell differentiation,3,12.4429,{'supercog1'},1
150,GO:0046368,"{'G', 'H'}",GDP-L-fucose metabolic process,2,12.7324,{'supercog2'},1
151,GO:0005770,"{'U', 'M'}",late endosome,2,8.8384,{'supercog1'},1
152,GO:0045627,"{'W', 'T'}",positive regulation of T-helper 1 cell differentiation,2,14.5238,{'supercog1'},1
153,GO:0097577,"{'P', 'U'}",sequestering of iron ion,2,11.213,"{'supercog2', 'supercog1'}",2
154,GO:0002285,"{'W', 'T'}",lymphocyte activation involved in immune response,2,9.6544,{'supercog1'},1
155,GO:1901532,"{'D', 'T'}",regulation of hematopoietic progenitor cell differentiation,2,11.6244,{'supercog1'},1
156,GO:0019150,"{'P', 'T'}",D-ribulokinase activity,2,14.9023,"{'supercog2', 'supercog1'}",2
157,GO:0046631,"{'W', 'T'}",alpha-beta T cell activation,2,10.1636,{'supercog1'},1
158,GO:0034383,"{'T', 'I'}",low-density lipoprotein particle clearance,2,12.9023,"{'supercog2', 'supercog1'}",2
159,GO:0098796,"{'O', 'M'}",membrane protein complex,2,4.8843,{'supercog1'},1
160,GO:0060294,"{'N', 'Z'}",cilium movement involved in cell motility,2,13.095,{'supercog1'},1
161,GO:0070897,"{'O', 'B'}",transcription preinitiation complex assembly,2,9.9435,"{'supercog3', 'supercog1'}",2
162,GO:0015862,"{'G', 'F'}",uridine transport,2,15.2243,{'supercog2'},1
163,GO:0070765,"{'O', 'M'}",gamma-secretase complex,2,14.1368,{'supercog1'},1
164,GO:0006886,"{'O', 'U'}",intracellular protein transport,2,6.0537,{'supercog1'},1
165,GO:0002335,"{'W', 'T'}",mature B cell differentiation,2,12.832,{'supercog1'},1
166,GO:2000026,"{'D', 'T'}",regulation of multicellular organismal development,2,6.1338,{'supercog1'},1
167,GO:0002694,"{'W', 'T'}",regulation of leukocyte activation,2,7.8287,{'supercog1'},1
168,GO:0008175,"{'A', 'J'}",tRNA methyltransferase activity,2,7.3401,{'supercog3'},1
169,GO:0120013,"{'I', 'M'}",lipid transfer activity,2,10.4495,"{'supercog2', 'supercog1'}",2
170,GO:0022898,"{'T', 'U'}",regulation of transmembrane transporter activity,2,9.3977,{'supercog1'},1
171,GO:2001303,"{'C', 'I'}",lipoxin A4 biosynthetic process,2,14.9023,{'supercog2'},1
172,GO:0009261,"{'G', 'F'}",ribonucleotide catabolic process,2,10.4694,{'supercog2'},1
173,GO:0045204,"{'O', 'U'}",MAPK export from nucleus,2,15.6393,{'supercog1'},1
174,GO:1903020,"{'G', 'O'}",positive regulation of glycoprotein metabolic process,2,13.6393,"{'supercog2', 'supercog1'}",2
175,GO:0071824,"{'O', 'B'}",protein-DNA complex subunit organization,2,7.9728,"{'supercog3', 'supercog1'}",2
176,GO:0008174,"{'A', 'H'}",mRNA methyltransferase activity,2,10.6169,"{'supercog3', 'supercog2'}",2
177,GO:0035869,"{'O', 'M'}",ciliary transition zone,2,11.832,{'supercog1'},1
178,GO:0004860,"{'O', 'T'}",protein kinase inhibitor activity,2,10.7405,{'supercog1'},1
179,GO:0010560,"{'G', 'O'}",positive regulation of glycoprotein biosynthetic process,2,13.7648,"{'supercog2', 'supercog1'}",2
180,GO:0000940,"{'O', 'Z'}",outer kinetochore,2,11.9955,{'supercog1'},1
181,GO:0023061,"{'T', 'U'}",signal release,2,8.5786,{'supercog1'},1
182,GO:0033866,"{'C', 'H'}",nucleoside bisphosphate biosynthetic process,2,7.0688,{'supercog2'},1
183,GO:2001302,"{'C', 'I'}",lipoxin A4 metabolic process,2,14.9023,{'supercog2'},1
184,GO:0032421,"{'M', 'Z'}",stereocilium bundle,2,11.4561,{'supercog1'},1
185,GO:0044773,"{'D', 'T'}",mitotic DNA damage checkpoint signaling,2,10.6468,{'supercog1'},1
186,GO:2001118,"{'C', 'H'}",tetrahydromethanopterin biosynthetic process,2,15.6393,{'supercog2'},1
187,GO:0032342,"{'C', 'Q'}",aldosterone biosynthetic process,2,14.6393,{'supercog2'},1
188,GO:0034767,"{'P', 'T'}",positive regulation of monoatomic ion transmembrane transport,2,9.8106,"{'supercog2', 'supercog1'}",2
189,GO:0031985,"{'U', 'M'}",Golgi cisterna,2,10.1368,{'supercog1'},1
190,GO:0070640,"{'H', 'I'}",vitamin D3 metabolic process,2,14.0543,{'supercog2'},1
191,GO:0051250,"{'W', 'T'}",negative regulation of lymphocyte activation,2,9.7364,{'supercog1'},1
192,GO:2001116,"{'C', 'H'}",methanopterin-containing compound biosynthetic process,2,15.6393,{'supercog2'},1
193,GO:0035745,"{'W', 'T'}",T-helper 2 cell cytokine production,2,12.2019,{'supercog1'},1
194,GO:0032806,"{'O', 'Y'}",carboxy-terminal domain protein kinase complex,2,11.2701,"{'supercog3', 'supercog1'}",2
195,GO:0035767,"{'T', 'N'}",endothelial cell chemotaxis,2,11.4964,{'supercog1'},1
196,GO:0009700,"{'C', 'H'}",indole phytoalexin biosynthetic process,2,14.4169,{'supercog2'},1
197,GO:0002827,"{'W', 'T'}",positive regulation of T-helper 1 type immune response,2,12.2935,{'supercog1'},1
198,GO:0009180,"{'C', 'H'}",purine ribonucleoside diphosphate biosynthetic process,2,11.8149,{'supercog2'},1
199,GO:2000514,"{'W', 'T'}","regulation of CD4-positive, alpha-beta T cell activation",2,11.213,{'supercog1'},1
200,GO:1905521,"{'W', 'T'}",regulation of macrophage migration,2,11.4041,{'supercog1'},1
201,GO:0042581,"{'U', 'M'}",specific granule,2,9.7364,{'supercog1'},1
202,GO:0005795,"{'U', 'M'}",Golgi stack,2,9.7938,{'supercog1'},1
203,GO:0048638,"{'D', 'T'}",regulation of developmental growth,2,8.5986,{'supercog1'},1
204,GO:0050656,"{'G', 'F'}",3'-phosphoadenosine 5'-phosphosulfate binding,2,15.6393,{'supercog2'},1
205,GO:0010485,"{'B', 'O'}",histone H4 acetyltransferase activity,2,12.0543,"{'supercog3', 'supercog1'}",2
206,GO:0005797,"{'U', 'M'}",Golgi medial cisterna,2,12.798,{'supercog1'},1
207,GO:0008119,"{'C', 'H'}",thiopurine S-methyltransferase activity,2,12.6096,{'supercog2'},1
208,GO:0002682,"{'W', 'T'}",regulation of immune system process,2,6.2137,{'supercog1'},1
209,GO:0051861,"{'G', 'I'}",glycolipid binding,2,12.5518,{'supercog2'},1
210,GO:0016581,"{'O', 'Y'}",NuRD complex,2,13.4694,"{'supercog3', 'supercog1'}",2
211,GO:0030449,"{'W', 'T'}",regulation of complement activation,2,10.4169,{'supercog1'},1
212,GO:0045839,"{'D', 'Y'}",negative regulation of mitotic nuclear division,2,10.5518,"{'supercog3', 'supercog1'}",2
213,GO:0032816,"{'W', 'T'}",positive regulation of natural killer cell activation,2,13.5238,{'supercog1'},1
214,GO:0007250,"{'O', 'T'}",activation of NF-kappaB-inducing kinase activity,2,12.9389,{'supercog1'},1
215,GO:0002762,"{'D', 'W'}",negative regulation of myeloid leukocyte differentiation,2,11.6697,{'supercog1'},1
216,GO:0046469,"{'C', 'I'}",platelet activating factor metabolic process,2,14.9023,{'supercog2'},1
217,GO:0030662,"{'U', 'M'}",coated vesicle membrane,2,9.3234,{'supercog1'},1
218,GO:0042826,"{'B', 'U'}",histone deacetylase binding,2,11.3539,"{'supercog3', 'supercog1'}",2
219,GO:0051731,"{'P', 'T'}",polynucleotide 5'-hydroxyl-kinase activity,2,12.9389,"{'supercog2', 'supercog1'}",2
220,GO:0042359,"{'H', 'I'}",vitamin D metabolic process,2,12.4964,{'supercog2'},1
221,GO:0071934,"{'F', 'H'}",thiamine transmembrane transport,2,13.4694,{'supercog2'},1
222,GO:0006622,"{'O', 'U'}",protein targeting to lysosome,2,13.1799,{'supercog1'},1
223,GO:0043955,"{'C', 'H'}",3-hydroxypropionyl-CoA synthetase activity,2,17.2243,{'supercog2'},1
224,GO:0005342,"{'C', 'U'}",organic acid transmembrane transporter activity,2,9.5308,"{'supercog2', 'supercog1'}",2
225,GO:0033003,"{'W', 'T'}",regulation of mast cell activation,2,11.8149,{'supercog1'},1
226,GO:0002696,"{'W', 'T'}",positive regulation of leukocyte activation,2,8.4561,{'supercog1'},1
227,GO:0090140,"{'D', 'T'}",regulation of mitochondrial fission,2,12.5518,{'supercog1'},1
228,GO:0009986,"{'W', 'M'}",cell surface,2,6.9131,{'supercog1'},1
229,GO:0042910,"{'Q', 'U'}",xenobiotic transmembrane transporter activity,2,11.0847,"{'supercog2', 'supercog1'}",2
230,GO:0042981,"{'D', 'T'}",regulation of apoptotic process,2,6.6063,{'supercog1'},1
231,GO:0003914,"{'B', 'C'}",DNA (6-4) photolyase activity,2,15.0543,"{'supercog3', 'supercog2'}",2
232,GO:0010595,"{'T', 'N'}",positive regulation of endothelial cell migration,2,10.4041,{'supercog1'},1
233,GO:0046843,"{'D', 'W'}",dorsal appendage formation,2,13.5238,{'supercog1'},1
234,GO:0016774,"{'P', 'T'}","phosphotransferase activity, carboxyl group as acceptor",2,7.6939,"{'supercog2', 'supercog1'}",2
235,GO:0008209,"{'C', 'I'}",androgen metabolic process,2,12.9763,{'supercog2'},1
236,GO:0030532,"{'O', 'Y'}",small nuclear ribonucleoprotein complex,2,9.5986,"{'supercog3', 'supercog1'}",2
237,GO:0072538,"{'W', 'T'}",T-helper 17 type immune response,2,11.9575,{'supercog1'},1
238,GO:0034033,"{'C', 'H'}",purine nucleoside bisphosphate biosynthetic process,2,7.0688,{'supercog2'},1
239,GO:0003353,"{'T', 'Z'}",positive regulation of cilium movement,2,17.2243,{'supercog1'},1
240,GO:0071047,"{'A', 'K'}",polyadenylation-dependent mRNA catabolic process,2,12.2019,{'supercog3'},1
