,GO term,COGs,GO term name,Number of COGs,IC,SuperCOGs,Number of SuperCOGs
72,GO:0033048,"{'B', 'D', 'Y'}",negative regulation of mitotic sister chromatid segregation,3,10.7324,"{'supercog3', 'supercog1'}",2
73,GO:0034340,"{'W', 'T', 'V'}",response to type I interferon,3,9.7405,{'supercog1'},1
74,GO:0071622,"{'T', 'W', 'N'}",regulation of granulocyte chemotaxis,3,11.1368,{'supercog1'},1
75,GO:0045619,"{'D', 'W', 'T'}",regulation of lymphocyte differentiation,3,9.7813,{'supercog1'},1
76,GO:0036388,"{'L', 'B', 'O'}",pre-replicative complex assembly,3,12.2019,"{'supercog3', 'supercog1'}",2
77,GO:0000070,"{'B', 'D', 'Y'}",mitotic sister chromatid segregation,3,8.7066,"{'supercog3', 'supercog1'}",2
78,GO:0071346,"{'W', 'T', 'V'}",cellular response to interferon-gamma,3,9.8667,{'supercog1'},1
79,GO:0050672,"{'D', 'W', 'T'}",negative regulation of lymphocyte proliferation,3,10.4495,{'supercog1'},1
80,GO:0019566,"{'G', 'H'}",arabinose metabolic process,2,10.51,{'supercog2'},1
81,GO:1901020,"{'P', 'U'}",negative regulation of calcium ion transmembrane transporter activity,2,12.0543,"{'supercog2', 'supercog1'}",2
82,GO:0051960,"{'D', 'T'}",regulation of nervous system development,2,7.6123,{'supercog1'},1
83,GO:0019320,"{'G', 'H'}",hexose catabolic process,2,8.8822,{'supercog2'},1
84,GO:0002822,"{'W', 'T'}",regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,2,9.6318,{'supercog1'},1
85,GO:0008135,"{'A', 'J'}","translation factor activity, RNA binding",2,5.899,{'supercog3'},1
86,GO:0008180,"{'O', 'Y'}",COP9 signalosome,2,11.3054,"{'supercog3', 'supercog1'}",2
87,GO:0070847,"{'O', 'Y'}",core mediator complex,2,10.9482,"{'supercog3', 'supercog1'}",2
88,GO:0070126,"{'O', 'J'}",mitochondrial translational termination,2,11.1368,"{'supercog3', 'supercog1'}",2
89,GO:0030835,"{'O', 'Z'}",negative regulation of actin filament depolymerization,2,10.5804,{'supercog1'},1
90,GO:0050864,"{'W', 'T'}",regulation of B cell activation,2,9.213,{'supercog1'},1
91,GO:0051604,"{'O', 'K'}",protein maturation,2,6.9645,"{'supercog3', 'supercog1'}",2
92,GO:0002098,"{'A', 'J'}",tRNA wobble uridine modification,2,8.3069,{'supercog3'},1
93,GO:0006623,"{'O', 'U'}",protein targeting to vacuole,2,9.9297,{'supercog1'},1
94,GO:0016779,"{'P', 'T'}",nucleotidyltransferase activity,2,5.3259,"{'supercog2', 'supercog1'}",2
95,GO:0000956,"{'A', 'K'}",nuclear-transcribed mRNA catabolic process,2,8.4794,{'supercog3'},1
96,GO:0002377,"{'W', 'K'}",immunoglobulin production,2,9.5066,"{'supercog3', 'supercog1'}",2
97,GO:0009086,"{'E', 'H'}",methionine biosynthetic process,2,7.1895,{'supercog2'},1
98,GO:0006402,"{'A', 'K'}",mRNA catabolic process,2,7.2592,{'supercog3'},1
99,GO:0000079,"{'O', 'T'}",regulation of cyclin-dependent protein serine/threonine kinase activity,2,9.5877,{'supercog1'},1
100,GO:0019724,"{'W', 'T'}",B cell mediated immunity,2,9.0027,{'supercog1'},1
101,GO:0046879,"{'T', 'U'}",hormone secretion,2,9.3447,{'supercog1'},1
102,GO:0006415,"{'O', 'J'}",translational termination,2,7.7027,"{'supercog3', 'supercog1'}",2
103,GO:0000808,"{'B', 'O'}",origin recognition complex,2,12.1582,"{'supercog3', 'supercog1'}",2
104,GO:0051492,"{'T', 'Z'}",regulation of stress fiber assembly,2,11.0644,{'supercog1'},1
105,GO:0009265,"{'G', 'F'}",2'-deoxyribonucleotide biosynthetic process,2,7.7445,{'supercog2'},1
106,GO:0033077,"{'W', 'T'}",T cell differentiation in thymus,2,10.7648,{'supercog1'},1
107,GO:0030175,"{'M', 'Z'}",filopodium,2,10.6169,{'supercog1'},1
108,GO:0031329,"{'C', 'T'}",regulation of cellular catabolic process,2,7.357,"{'supercog2', 'supercog1'}",2
109,GO:0006111,"{'G', 'H'}",regulation of gluconeogenesis,2,10.9482,{'supercog2'},1
110,GO:0009100,"{'G', 'O'}",glycoprotein metabolic process,2,8.0771,"{'supercog2', 'supercog1'}",2
111,GO:0003896,"{'L', 'K'}",DNA primase activity,2,10.7648,{'supercog3'},1
112,GO:0051171,"{'C', 'T'}",regulation of nitrogen compound metabolic process,2,3.5294,"{'supercog2', 'supercog1'}",2
113,GO:0006665,"{'C', 'I'}",sphingolipid metabolic process,2,9.6968,{'supercog2'},1
114,GO:0045595,"{'D', 'T'}",regulation of cell differentiation,2,6.4702,{'supercog1'},1
115,GO:0009142,"{'C', 'H'}",nucleoside triphosphate biosynthetic process,2,5.6623,{'supercog2'},1
116,GO:0043154,"{'O', 'D'}",negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,2,10.4299,{'supercog1'},1
117,GO:0043096,"{'C', 'H'}",purine nucleobase salvage,2,9.2356,{'supercog2'},1
118,GO:0010906,"{'G', 'H'}",regulation of glucose metabolic process,2,10.1053,{'supercog2'},1
119,GO:0051090,"{'T', 'K'}",regulation of DNA-binding transcription factor activity,2,8.5117,"{'supercog3', 'supercog1'}",2
120,GO:0042325,"{'C', 'T'}",regulation of phosphorylation,2,6.3298,"{'supercog2', 'supercog1'}",2
121,GO:0042126,"{'C', 'H'}",nitrate metabolic process,2,9.7896,{'supercog2'},1
122,GO:0043280,"{'O', 'D'}",positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,2,10.6544,{'supercog1'},1
123,GO:0006226,"{'F', 'H'}",dUMP biosynthetic process,2,9.1501,{'supercog2'},1
124,GO:0006919,"{'O', 'D'}",activation of cysteine-type endopeptidase activity involved in apoptotic process,2,11.3663,{'supercog1'},1
125,GO:0032436,"{'O', 'C'}",positive regulation of proteasomal ubiquitin-dependent protein catabolic process,2,11.1582,"{'supercog2', 'supercog1'}",2
126,GO:0004482,"{'A', 'H'}",mRNA (guanine-N7-)-methyltransferase activity,2,11.3663,"{'supercog3', 'supercog2'}",2
127,GO:0090114,"{'U', 'M'}",COPII-coated vesicle budding,2,10.5308,{'supercog1'},1
128,GO:0043165,"{'W', 'M'}",Gram-negative-bacterium-type cell outer membrane assembly,2,10.4364,{'supercog1'},1
129,GO:0050776,"{'W', 'T'}",regulation of immune response,2,6.7959,{'supercog1'},1
130,GO:0005736,"{'O', 'Y'}",RNA polymerase I complex,2,11.6244,"{'supercog3', 'supercog1'}",2
131,GO:0022603,"{'D', 'T'}",regulation of anatomical structure morphogenesis,2,5.6757,{'supercog1'},1
132,GO:0097525,"{'O', 'Y'}",spliceosomal snRNP complex,2,9.6356,"{'supercog3', 'supercog1'}",2
133,GO:0042110,"{'W', 'T'}",T cell activation,2,8.1144,{'supercog1'},1
134,GO:0006458,"{'O', 'K'}",'de novo' protein folding,2,9.798,"{'supercog3', 'supercog1'}",2
135,GO:0070167,"{'D', 'T'}",regulation of biomineral tissue development,2,11.3416,{'supercog1'},1
136,GO:0006474,"{'O', 'K'}",N-terminal protein amino acid acetylation,2,11.7648,"{'supercog3', 'supercog1'}",2
137,GO:0046654,"{'C', 'H'}",tetrahydrofolate biosynthetic process,2,9.1528,{'supercog2'},1
138,GO:0090322,"{'C', 'T'}",regulation of superoxide metabolic process,2,10.9669,"{'supercog2', 'supercog1'}",2
139,GO:1904063,"{'P', 'T'}",negative regulation of cation transmembrane transport,2,11.0246,"{'supercog2', 'supercog1'}",2
140,GO:0002250,"{'W', 'T'}",adaptive immune response,2,7.6123,{'supercog1'},1
141,GO:0036503,"{'O', 'T'}",ERAD pathway,2,9.9389,{'supercog1'},1
142,GO:0006260,"{'B', 'L'}",DNA replication,2,5.8151,{'supercog3'},1
143,GO:1903514,"{'P', 'U'}",release of sequestered calcium ion into cytosol by endoplasmic reticulum,2,12.095,"{'supercog2', 'supercog1'}",2
144,GO:0005689,"{'O', 'Y'}",U12-type spliceosomal complex,2,12.1368,"{'supercog3', 'supercog1'}",2
145,GO:0051303,"{'B', 'U'}",establishment of chromosome localization,2,10.2187,"{'supercog3', 'supercog1'}",2
146,GO:0003887,"{'B', 'L'}",DNA-directed DNA polymerase activity,2,8.5343,{'supercog3'},1
147,GO:0006955,"{'W', 'T'}",immune response,2,5.6883,{'supercog1'},1
148,GO:0046695,"{'O', 'Y'}",SLIK (SAGA-like) complex,2,13.1799,"{'supercog3', 'supercog1'}",2
149,GO:0030141,"{'U', 'M'}",secretory granule,2,7.6013,{'supercog1'},1
150,GO:0030118,"{'O', 'M'}",clathrin coat,2,11.2701,{'supercog1'},1
151,GO:0002685,"{'W', 'T'}",regulation of leukocyte migration,2,9.3114,{'supercog1'},1
152,GO:0006275,"{'B', 'L'}",regulation of DNA replication,2,8.4811,{'supercog3'},1
153,GO:0000124,"{'O', 'Y'}",SAGA complex,2,11.5661,"{'supercog3', 'supercog1'}",2
154,GO:0030856,"{'D', 'T'}",regulation of epithelial cell differentiation,2,10.5238,{'supercog1'},1
155,GO:0060255,"{'C', 'T'}",regulation of macromolecule metabolic process,2,3.4098,"{'supercog2', 'supercog1'}",2
156,GO:0008509,"{'P', 'U'}",anion transmembrane transporter activity,2,7.4853,"{'supercog2', 'supercog1'}",2
157,GO:0006337,"{'B', 'O'}",nucleosome disassembly,2,12.4429,"{'supercog3', 'supercog1'}",2
158,GO:0035303,"{'C', 'T'}",regulation of dephosphorylation,2,9.2103,"{'supercog2', 'supercog1'}",2
159,GO:0043531,"{'G', 'F'}",ADP binding,2,9.5589,{'supercog2'},1
160,GO:0004864,"{'O', 'T'}",protein phosphatase inhibitor activity,2,11.0246,{'supercog1'},1
161,GO:0005849,"{'O', 'Y'}",mRNA cleavage factor complex,2,10.9482,"{'supercog3', 'supercog1'}",2
162,GO:1901379,"{'P', 'T'}",regulation of potassium ion transmembrane transport,2,11.1799,"{'supercog2', 'supercog1'}",2
163,GO:0071004,"{'O', 'Y'}",U2-type prespliceosome,2,10.9669,"{'supercog3', 'supercog1'}",2
164,GO:0005751,"{'O', 'M'}",mitochondrial respiratory chain complex IV,2,11.9389,{'supercog1'},1
165,GO:1904029,"{'O', 'T'}",regulation of cyclin-dependent protein kinase activity,2,9.5768,{'supercog1'},1
166,GO:0007064,"{'B', 'D'}",mitotic sister chromatid cohesion,2,11.4828,"{'supercog3', 'supercog1'}",2
167,GO:0006007,"{'G', 'H'}",glucose catabolic process,2,9.7731,{'supercog2'},1
168,GO:0010008,"{'U', 'M'}",endosome membrane,2,8.1066,{'supercog1'},1
169,GO:0030218,"{'D', 'W'}",erythrocyte differentiation,2,9.8934,{'supercog1'},1
170,GO:0090398,"{'C', 'T'}",cellular senescence,2,10.5949,"{'supercog2', 'supercog1'}",2
171,GO:0002824,"{'W', 'T'}",positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,2,10.1636,{'supercog1'},1
172,GO:0099501,"{'U', 'M'}",exocytic vesicle membrane,2,11.1262,{'supercog1'},1
173,GO:0005768,"{'U', 'M'}",endosome,2,7.0873,{'supercog1'},1
174,GO:2000404,"{'W', 'T'}",regulation of T cell migration,2,11.4561,{'supercog1'},1
175,GO:0043487,"{'A', 'T'}",regulation of RNA stability,2,9.662,"{'supercog3', 'supercog1'}",2
176,GO:0006313,"{'L', 'X'}","transposition, DNA-mediated",2,10.2413,{'supercog3'},1
177,GO:0099587,"{'P', 'U'}",inorganic ion import across plasma membrane,2,11.2585,"{'supercog2', 'supercog1'}",2
178,GO:0055037,"{'U', 'M'}",recycling endosome,2,10.0051,{'supercog1'},1
179,GO:0002949,"{'A', 'J'}",tRNA threonylcarbamoyladenosine modification,2,9.1184,{'supercog3'},1
180,GO:0019318,"{'G', 'H'}",hexose metabolic process,2,6.3306,{'supercog2'},1
181,GO:0009177,"{'C', 'H'}",pyrimidine deoxyribonucleoside monophosphate biosynthetic process,2,8.2818,{'supercog2'},1
182,GO:0032561,"{'G', 'F'}",guanyl ribonucleotide binding,2,5.1125,{'supercog2'},1
183,GO:0031323,"{'C', 'T'}",regulation of cellular metabolic process,2,3.4412,"{'supercog2', 'supercog1'}",2
184,GO:1903317,"{'O', 'K'}",regulation of protein maturation,2,10.9389,"{'supercog3', 'supercog1'}",2
185,GO:0051015,"{'O', 'Z'}",actin filament binding,2,8.689,{'supercog1'},1
186,GO:0002460,"{'W', 'T'}",adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,2,8.3493,{'supercog1'},1
187,GO:0046943,"{'C', 'U'}",carboxylic acid transmembrane transporter activity,2,9.6318,"{'supercog2', 'supercog1'}",2
188,GO:0032412,"{'T', 'U'}",regulation of ion transmembrane transporter activity,2,9.4964,{'supercog1'},1
189,GO:0010556,"{'C', 'T'}",regulation of macromolecule biosynthetic process,2,3.8952,"{'supercog2', 'supercog1'}",2
190,GO:0051209,"{'P', 'U'}",release of sequestered calcium ion into cytosol,2,10.2876,"{'supercog2', 'supercog1'}",2
191,GO:0055029,"{'O', 'Y'}",nuclear DNA-directed RNA polymerase complex,2,9.01,"{'supercog3', 'supercog1'}",2
192,GO:0032642,"{'T', 'K'}",regulation of chemokine production,2,10.7648,"{'supercog3', 'supercog1'}",2
193,GO:0045664,"{'D', 'T'}",regulation of neuron differentiation,2,8.1622,{'supercog1'},1
194,GO:0045598,"{'D', 'T'}",regulation of fat cell differentiation,2,10.8064,{'supercog1'},1
195,GO:0019003,"{'G', 'F'}",GDP binding,2,10.3977,{'supercog2'},1
196,GO:0007346,"{'T', 'Y'}",regulation of mitotic cell cycle,2,7.688,"{'supercog3', 'supercog1'}",2
197,GO:0006269,"{'L', 'K'}","DNA replication, synthesis of RNA primer",2,10.1582,{'supercog3'},1
198,GO:0090316,"{'O', 'U'}",positive regulation of intracellular protein transport,2,9.7608,{'supercog1'},1
199,GO:0019363,"{'F', 'H'}",pyridine nucleotide biosynthetic process,2,7.7917,{'supercog2'},1
200,GO:0120227,"{'G', 'F'}",acyl-CoA binding,2,,{'supercog2'},1
201,GO:0009220,"{'F', 'H'}",pyrimidine ribonucleotide biosynthetic process,2,6.3578,{'supercog2'},1
202,GO:0050777,"{'W', 'T'}",negative regulation of immune response,2,8.8934,{'supercog1'},1
203,GO:0031418,"{'G', 'H'}",L-ascorbic acid binding,2,10.1158,{'supercog2'},1
204,GO:0072522,"{'C', 'H'}",purine-containing compound biosynthetic process,2,4.7513,{'supercog2'},1
205,GO:0005686,"{'O', 'Y'}",U2 snRNP,2,11.1158,"{'supercog3', 'supercog1'}",2
206,GO:0098827,"{'U', 'M'}",endoplasmic reticulum subcompartment,2,11.9023,{'supercog1'},1
207,GO:0031901,"{'U', 'M'}",early endosome membrane,2,10.6096,{'supercog1'},1
208,GO:0046825,"{'O', 'U'}",regulation of protein export from nucleus,2,10.8844,{'supercog1'},1
209,GO:0098659,"{'P', 'U'}",inorganic cation import across plasma membrane,2,11.2701,"{'supercog2', 'supercog1'}",2
210,GO:0098791,"{'U', 'M'}",Golgi apparatus subcompartment,2,8.6096,{'supercog1'},1
211,GO:0045275,"{'O', 'M'}",respiratory chain complex III,2,8.8085,{'supercog1'},1
212,GO:0071265,"{'E', 'H'}",L-methionine biosynthetic process,2,8.2313,{'supercog2'},1
213,GO:0045841,"{'D', 'Y'}",negative regulation of mitotic metaphase/anaphase transition,2,10.8234,"{'supercog3', 'supercog1'}",2
214,GO:0006606,"{'O', 'U'}",protein import into nucleus,2,9.2906,{'supercog1'},1
215,GO:0097730,"{'O', 'M'}",non-motile cilium,2,9.9669,{'supercog1'},1
216,GO:0101002,"{'U', 'M'}",ficolin-1-rich granule,2,9.9343,{'supercog1'},1
217,GO:0019388,"{'G', 'H'}",galactose catabolic process,2,10.858,{'supercog2'},1
218,GO:0009889,"{'C', 'T'}",regulation of biosynthetic process,2,3.8353,"{'supercog2', 'supercog1'}",2
219,GO:0006096,"{'C', 'H'}",glycolytic process,2,6.3103,{'supercog2'},1
220,GO:0046081,"{'G', 'F'}",dUTP catabolic process,2,10.0745,{'supercog2'},1
221,GO:0050871,"{'W', 'T'}",positive regulation of B cell activation,2,9.5378,{'supercog1'},1
222,GO:0033212,"{'P', 'U'}",iron import into cell,2,11.1582,"{'supercog2', 'supercog1'}",2
223,GO:0019323,"{'G', 'H'}",pentose catabolic process,2,9.7405,{'supercog2'},1
224,GO:0050793,"{'D', 'T'}",regulation of developmental process,2,4.9884,{'supercog1'},1
225,GO:1902036,"{'D', 'T'}",regulation of hematopoietic stem cell differentiation,2,11.9023,{'supercog1'},1
226,GO:0001056,"{'B', 'K'}",RNA polymerase III activity,2,11.3663,{'supercog3'},1
227,GO:0032680,"{'T', 'K'}",regulation of tumor necrosis factor production,2,10.0295,"{'supercog3', 'supercog1'}",2
228,GO:0005681,"{'O', 'Y'}",spliceosomal complex,2,8.2061,"{'supercog3', 'supercog1'}",2
229,GO:0035580,"{'U', 'M'}",specific granule lumen,2,10.1053,{'supercog1'},1
230,GO:0009249,"{'O', 'K'}",protein lipoylation,2,8.6468,"{'supercog3', 'supercog1'}",2
231,GO:0006012,"{'G', 'H'}",galactose metabolic process,2,9.8623,{'supercog2'},1
232,GO:0012505,"{'U', 'M'}",endomembrane system,2,4.6633,{'supercog1'},1
233,GO:0006231,"{'F', 'H'}",dTMP biosynthetic process,2,9.4009,{'supercog2'},1
234,GO:0002821,"{'W', 'T'}",positive regulation of adaptive immune response,2,10.1315,{'supercog1'},1
235,GO:0120161,"{'C', 'T'}",regulation of cold-induced thermogenesis,2,10.0543,"{'supercog2', 'supercog1'}",2
236,GO:0140078,"{'B', 'C'}",class I DNA-(apurinic or apyrimidinic site) endonuclease activity,2,9.4561,"{'supercog3', 'supercog2'}",2
237,GO:0043030,"{'W', 'T'}",regulation of macrophage activation,2,11.5378,{'supercog1'},1
238,GO:0005680,"{'O', 'Y'}",anaphase-promoting complex,2,11.8492,"{'supercog3', 'supercog1'}",2
239,GO:0009041,"{'P', 'T'}",uridylate kinase activity,2,9.5135,"{'supercog2', 'supercog1'}",2
240,GO:0051382,"{'O', 'D'}",kinetochore assembly,2,11.5804,{'supercog1'},1
241,GO:0009212,"{'C', 'H'}",pyrimidine deoxyribonucleoside triphosphate biosynthetic process,2,8.1812,{'supercog2'},1
242,GO:0046782,"{'T', 'X'}",regulation of viral transcription,2,10.9205,"{'supercog3', 'supercog1'}",2
243,GO:0045211,"{'W', 'M'}",postsynaptic membrane,2,9.7086,{'supercog1'},1
244,GO:0031965,"{'Y', 'M'}",nuclear membrane,2,8.8956,"{'supercog3', 'supercog1'}",2
245,GO:0004860,"{'O', 'T'}",protein kinase inhibitor activity,2,10.7405,{'supercog1'},1
246,GO:0034654,"{'C', 'H'}",nucleobase-containing compound biosynthetic process,2,2.819,{'supercog2'},1
247,GO:0030183,"{'W', 'T'}",B cell differentiation,2,10.1368,{'supercog1'},1
248,GO:0016775,"{'P', 'T'}","phosphotransferase activity, nitrogenous group as acceptor",2,8.9435,"{'supercog2', 'supercog1'}",2
249,GO:0044786,"{'L', 'D'}",cell cycle DNA replication,2,10.0493,"{'supercog3', 'supercog1'}",2
